ts_utc,ts_ms,date_cn,symbol,venue,base,bid,ask,mid,spread_bp,bid_sz,ask_sz,last,usdt_vol_24h,source,in_ours_top
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,NVDAUSDT,perp,NVDA,219.48,219.49,219.485,0.4556,6.93,514.12,219.46,2520048.7162,b-side,1
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,QQQUSDT,perp,QQQ,716.46,716.47,716.465,0.1396,0.5,0.07,716.51,1495479.5604,b-side,1
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,RAAPLUSDT,spot,AAPL,332.34,332.71,332.525,11.127,0.84,0.6468,332.32,7845.4652,b-side,1
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,RGOOGLUSDT,spot,GOOGL,339.02,339.28,339.15,7.6662,0.05,0.1475,339.3,169.648049,b-side,1
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,RHOODUSDT,spot,HOOD,112.14,112.37,112.255,20.4891,2.0344,1.432,112.14,1058154432.8052182,b-side,1
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,RMETAUSDT,spot,META,647.4,648.67,648.035,19.5977,7.8349,9.96,648.62,1343.86562,b-side,1
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,RMRVLUSDT,spot,MRVL,236.13,236.96,236.54500000000002,35.0885,1.068,1.056,236.96,2754.52503,b-side,1
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,RNVDAUSDT,spot,NVDA,219.02,219.04,219.03,0.9131,0.5613,0.0712,219.05,18627.799338,b-side,1
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,RQQQUSDT,spot,QQQ,714.59,715.09,714.84,6.9946,25.0339,19.3104,715.09,340.811894,b-side,1
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,RSOXLUSDT,spot,SOXL,122.27,122.28,122.275,0.8178,5.0,200.0,122.28,2894773969.214765,b-side,1
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,RSPYUSDT,spot,SPY,764.34,765.72,765.03,18.0385,20.3839,28.0669,765.72,25176602920.071472,b-side,1
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,RTSLAUSDT,spot,TSLA,365.74,365.76,365.75,0.5468,0.375,94.0988,365.76,3501.848905,b-side,1
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,SOXLUSDT,perp,SOXL,122.83,122.84,122.83500000000001,0.8141,19.1,9.14,122.84,14533472.7523,b-side,1
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,SPYUSDT,perp,SPY,766.04,766.05,766.045,0.1305,0.44,2720.66,766.0,285795.2044,b-side,1
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,TSLAUSDT,perp,TSLA,366.16,366.17,366.165,0.2731,0.13,0.76,366.15,1368661.6254,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,AAPLUSDT,perp,AAPL,333.87,333.88,333.875,0.2995,0.26,0.38,333.85,1347533.5808,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,GOOGLUSDT,perp,GOOGL,339.86,339.89,339.875,0.8827,6.79,117.13,339.82,1012211.8698,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,HOODUSDT,perp,HOOD,112.55,112.56,112.555,0.8885,13.65,0.4,112.52,356010.007,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,METAUSDT,perp,META,650.12,650.17,650.145,0.7691,0.07,0.06,650.12,473505.1997,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,MRVLUSDT,perp,MRVL,237.45,237.46,237.45499999999998,0.4211,0.2,3.81,237.51,1408155.4583,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,NVDAUSDT,perp,NVDA,219.48,219.49,219.485,0.4556,6.93,514.12,219.46,2506845.9441,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,QQQUSDT,perp,QQQ,716.46,716.47,716.465,0.1396,0.07,0.68,716.51,1494885.2466,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,RAAPLUSDT,spot,AAPL,332.34,332.71,332.525,11.127,0.84,0.6468,332.32,7845.4652,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,RGOOGLUSDT,spot,GOOGL,339.02,339.28,339.15,7.6662,0.05,0.1475,339.3,169.648049,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,RHOODUSDT,spot,HOOD,112.14,112.37,112.255,20.4891,2.0344,1.432,112.14,1058154432.8052182,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,RMETAUSDT,spot,META,647.4,648.67,648.035,19.5977,7.8349,9.96,648.62,1343.86562,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,RMRVLUSDT,spot,MRVL,236.13,236.96,236.54500000000002,35.0885,1.068,1.056,236.96,2754.52503,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,RNVDAUSDT,spot,NVDA,219.02,219.05,219.03500000000003,1.3696,0.2214,0.8937,219.02,19457.304837,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,RQQQUSDT,spot,QQQ,714.59,715.09,714.84,6.9946,25.0339,19.3104,715.09,340.811894,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,RSOXLUSDT,spot,SOXL,122.27,122.28,122.275,0.8178,5.0,200.0,122.28,2894773969.214765,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,RSPYUSDT,spot,SPY,764.34,765.72,765.03,18.0385,20.3839,28.0669,765.72,25176602920.071472,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,RTSLAUSDT,spot,TSLA,365.74,365.76,365.75,0.5468,0.375,94.0988,365.76,3501.848905,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,SOXLUSDT,perp,SOXL,122.84,122.85,122.845,0.814,4.64,9.36,122.84,14451011.7792,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,SPYUSDT,perp,SPY,766.04,766.05,766.045,0.1305,0.44,2720.67,766.0,285787.5489,b-side,1
2026-09-12T16:41:46.737Z,1789231306737,2026-09-13,TSLAUSDT,perp,TSLA,366.14,366.16,366.15,0.5462,0.13,0.13,366.15,1345738.9095,b-side,1
2026-09-12T16:42:46.738Z,1789231366738,2026-09-13,AAPLUSDT,perp,AAPL,333.81,333.82,333.815,0.2996,20.63,0.34,333.87,1347025.5196,b-side,1
2026-09-12T16:42:46.738Z,1789231366738,2026-09-13,GOOGLUSDT,perp,GOOGL,339.95,339.96,339.955,0.2942,0.21,0.62,339.89,1012259.3925,b-side,1
2026-09-12T16:42:46.738Z,1789231366738,2026-09-13,HOODUSDT,perp,HOOD,112.55,112.56,112.555,0.8885,13.65,0.4,112.52,356010.007,b-side,1
2026-09-12T16:42:46.738Z,1789231366738,2026-09-13,METAUSDT,perp,META,650.07,650.15,650.11,1.2306,0.07,0.07,650.19,465817.4934,b-side,1
2026-09-12T16:42:46.738Z,1789231366738,2026-09-13,MRVLUSDT,perp,MRVL,237.45,237.47,237.45999999999998,0.8422,0.2,3.81,237.51,1406483.556,b-side,1
