ts_ms,ts_utc,spot_symbol,perp_symbol,spot_close,perp_close,basis_bp,spot_lag_bars
1789063200000,2026-09-10T18:00:00Z,RAAPLUSDT,AAPLUSDT,324.025,324.27,7.561145,0
1789063500000,2026-09-10T18:05:00Z,RAAPLUSDT,AAPLUSDT,323.6,323.86,8.034611,0
1789063800000,2026-09-10T18:10:00Z,RAAPLUSDT,AAPLUSDT,323.65,323.98,10.1962,0
1789064100000,2026-09-10T18:15:00Z,RAAPLUSDT,AAPLUSDT,323.795,324.21,12.816751,0
1789064400000,2026-09-10T18:20:00Z,RAAPLUSDT,AAPLUSDT,324.1501,324.42,8.32639,0
1789064700000,2026-09-10T18:25:00Z,RAAPLUSDT,AAPLUSDT,324.12,324.4,8.638776,0
1789065000000,2026-09-10T18:30:00Z,RAAPLUSDT,AAPLUSDT,323.871,324.04,5.218127,0
1789065300000,2026-09-10T18:35:00Z,RAAPLUSDT,AAPLUSDT,324.25,324.49,7.401696,0
1789065600000,2026-09-10T18:40:00Z,RAAPLUSDT,AAPLUSDT,324.4,324.71,9.556104,0
1789065900000,2026-09-10T18:45:00Z,RAAPLUSDT,AAPLUSDT,324.84,324.97,4.00197,0
1789066200000,2026-09-10T18:50:00Z,RAAPLUSDT,AAPLUSDT,325.365,325.6,7.222658,0
1789066500000,2026-09-10T18:55:00Z,RAAPLUSDT,AAPLUSDT,325.38,325.6,6.761325,0
1789066800000,2026-09-10T19:00:00Z,RAAPLUSDT,AAPLUSDT,325.04,325.24,6.153089,0
1789067100000,2026-09-10T19:05:00Z,RAAPLUSDT,AAPLUSDT,325.45,325.69,7.374405,0
1789067400000,2026-09-10T19:10:00Z,RAAPLUSDT,AAPLUSDT,325.8,325.93,3.990178,0
1789067700000,2026-09-10T19:15:00Z,RAAPLUSDT,AAPLUSDT,325.708,325.78,2.210569,0
1789068000000,2026-09-10T19:20:00Z,RAAPLUSDT,AAPLUSDT,325.6,325.77,5.22113,0
1789068300000,2026-09-10T19:25:00Z,RAAPLUSDT,AAPLUSDT,325.285,325.36,2.30567,0
1789068600000,2026-09-10T19:30:00Z,RAAPLUSDT,AAPLUSDT,325.536,325.64,3.194731,0
1789068900000,2026-09-10T19:35:00Z,RAAPLUSDT,AAPLUSDT,325.735,325.86,3.837475,0
1789069200000,2026-09-10T19:40:00Z,RAAPLUSDT,AAPLUSDT,325.3999,325.54,4.305472,0
1789069500000,2026-09-10T19:45:00Z,RAAPLUSDT,AAPLUSDT,325.855,325.93,2.301637,0
1789069800000,2026-09-10T19:50:00Z,RAAPLUSDT,AAPLUSDT,325.615,325.84,6.910001,0
1789070100000,2026-09-10T19:55:00Z,RAAPLUSDT,AAPLUSDT,326.57,326.75,5.511835,0
1789070400000,2026-09-10T20:00:00Z,RAAPLUSDT,AAPLUSDT,326.3601,326.6,7.350776,0
1789070700000,2026-09-10T20:05:00Z,RAAPLUSDT,AAPLUSDT,326.47,326.69,6.738751,0
1789071000000,2026-09-10T20:10:00Z,RAAPLUSDT,AAPLUSDT,326.48,326.64,4.90076,0
1789071300000,2026-09-10T20:15:00Z,RAAPLUSDT,AAPLUSDT,326.4663,326.55,2.563817,0
1789071600000,2026-09-10T20:20:00Z,RAAPLUSDT,AAPLUSDT,326.56,326.67,3.368447,0
1789071900000,2026-09-10T20:25:00Z,RAAPLUSDT,AAPLUSDT,326.42,326.58,4.90166,0
1789072200000,2026-09-10T20:30:00Z,RAAPLUSDT,AAPLUSDT,326.24,326.41,5.210888,0
1789072500000,2026-09-10T20:35:00Z,RAAPLUSDT,AAPLUSDT,326.1,326.24,4.293162,0
1789072800000,2026-09-10T20:40:00Z,RAAPLUSDT,AAPLUSDT,326.2888,326.32,0.956208,0
1789073100000,2026-09-10T20:45:00Z,RAAPLUSDT,AAPLUSDT,326.0,326.19,5.828221,0
1789073400000,2026-09-10T20:50:00Z,RAAPLUSDT,AAPLUSDT,326.04,326.27,7.054349,0
1789073700000,2026-09-10T20:55:00Z,RAAPLUSDT,AAPLUSDT,325.9,326.15,7.671065,0
1789074000000,2026-09-10T21:00:00Z,RAAPLUSDT,AAPLUSDT,325.92,326.19,8.284242,0
1789074300000,2026-09-10T21:05:00Z,RAAPLUSDT,AAPLUSDT,325.95,326.12,5.215524,0
1789074600000,2026-09-10T21:10:00Z,RAAPLUSDT,AAPLUSDT,325.86,326.1,7.365126,0
1789074900000,2026-09-10T21:15:00Z,RAAPLUSDT,AAPLUSDT,325.85,326.1,7.672242,0
1789075200000,2026-09-10T21:20:00Z,RAAPLUSDT,AAPLUSDT,325.88,326.06,5.523506,0
1789075500000,2026-09-10T21:25:00Z,RAAPLUSDT,AAPLUSDT,325.9018,326.06,4.854223,0
1789075800000,2026-09-10T21:30:00Z,RAAPLUSDT,AAPLUSDT,325.991,326.11,3.650408,0
1789076100000,2026-09-10T21:35:00Z,RAAPLUSDT,AAPLUSDT,326.0016,326.15,4.552125,0
1789076400000,2026-09-10T21:40:00Z,RAAPLUSDT,AAPLUSDT,326.05,326.13,2.453611,0
1789076700000,2026-09-10T21:45:00Z,RAAPLUSDT,AAPLUSDT,326.2,326.29,2.759044,0
1789077000000,2026-09-10T21:50:00Z,RAAPLUSDT,AAPLUSDT,326.16,326.31,4.59897,0
1789077300000,2026-09-10T21:55:00Z,RAAPLUSDT,AAPLUSDT,326.23,326.37,4.291451,0
1789077600000,2026-09-10T22:00:00Z,RAAPLUSDT,AAPLUSDT,326.34,326.47,3.983575,0
1789077900000,2026-09-10T22:05:00Z,RAAPLUSDT,AAPLUSDT,326.25,326.32,2.145594,0
