ts_ms,ts_utc,base,venue,side,slip_target_bp,capacity_usd,actual_slip_bp,best_price
1789233964551,2026-09-12T17:26:04Z,SPY,perp,ask,1.0,2523442.79,0.2056,765.98
1789233964551,2026-09-12T17:26:04Z,SPY,perp,ask,5.0,2523442.79,0.2056,765.98
1789233964551,2026-09-12T17:26:04Z,TSLA,perp,bid,1.0,523.41,0.6094,366.04
1789233964551,2026-09-12T17:26:04Z,TSLA,perp,bid,5.0,3121.93,1.2391,366.04
1789233964551,2026-09-12T17:26:04Z,TSLA,perp,ask,1.0,262646.23,0.7726,366.07
1789233964551,2026-09-12T17:26:04Z,TSLA,perp,ask,5.0,262646.23,0.7726,366.07
1789233994555,2026-09-12T17:26:34Z,AAPL,perp,bid,1.0,176681.53,0.3363,333.7
1789233994555,2026-09-12T17:26:34Z,AAPL,perp,bid,5.0,176681.53,0.3363,333.7
1789233994555,2026-09-12T17:26:34Z,AAPL,perp,ask,1.0,2910.1,0.4986,333.71
1789233994555,2026-09-12T17:26:34Z,AAPL,perp,ask,5.0,172264.86,1.187,333.71
1789233994555,2026-09-12T17:26:34Z,GOOGL,perp,bid,1.0,9000.2,0.9781,339.92
1789233994555,2026-09-12T17:26:34Z,GOOGL,perp,bid,5.0,9000.2,0.9781,339.92
1789233994555,2026-09-12T17:26:34Z,GOOGL,perp,ask,1.0,92417.87,0.4866,339.93
1789233994555,2026-09-12T17:26:34Z,GOOGL,perp,ask,5.0,92417.87,0.4866,339.93
1789233994555,2026-09-12T17:26:34Z,HOOD,perp,bid,1.0,4305.32,0.0646,112.47
1789233994555,2026-09-12T17:26:34Z,HOOD,perp,bid,5.0,18761.86,4.9967,112.47
1789233994555,2026-09-12T17:26:34Z,HOOD,perp,ask,1.0,220026.92,0.9848,112.48
1789233994555,2026-09-12T17:26:34Z,HOOD,perp,ask,5.0,220026.92,0.9848,112.48
1789233994555,2026-09-12T17:26:34Z,META,perp,bid,1.0,3002.55,0.7227,649.95
1789233994555,2026-09-12T17:26:34Z,META,perp,bid,5.0,5303.02,1.0787,649.95
1789233994555,2026-09-12T17:26:34Z,META,perp,ask,1.0,26221.97,0.5249,649.99
1789233994555,2026-09-12T17:26:34Z,META,perp,ask,5.0,26221.97,0.5249,649.99
1789233994555,2026-09-12T17:26:34Z,MRVL,perp,bid,1.0,94.96,0.6318,237.42
1789233994555,2026-09-12T17:26:34Z,MRVL,perp,bid,5.0,86520.97,2.426,237.42
1789233994555,2026-09-12T17:26:34Z,MRVL,perp,ask,1.0,271295.57,0.3842,237.43
1789233994555,2026-09-12T17:26:34Z,MRVL,perp,ask,5.0,271295.57,0.3842,237.43
1789233994555,2026-09-12T17:26:34Z,NVDA,perp,bid,1.0,3652.24,0.6631,219.5
1789233994555,2026-09-12T17:26:34Z,NVDA,perp,bid,5.0,29487.36,1.5817,219.5
1789233994555,2026-09-12T17:26:34Z,NVDA,perp,ask,1.0,274804.72,0.4048,219.51
1789233994555,2026-09-12T17:26:34Z,NVDA,perp,ask,5.0,274804.72,0.4048,219.51
1789233994555,2026-09-12T17:26:34Z,QQQ,perp,bid,1.0,3840.16,0.1776,716.46
1789233994555,2026-09-12T17:26:34Z,QQQ,perp,bid,5.0,3840.16,0.1776,716.46
1789233994555,2026-09-12T17:26:34Z,QQQ,perp,ask,1.0,293790.95,0.0825,716.47
1789233994555,2026-09-12T17:26:34Z,QQQ,perp,ask,5.0,293790.95,0.0825,716.47
1789233994555,2026-09-12T17:26:34Z,SOXL,perp,bid,1.0,152155.66,0.9007,122.74
1789233994555,2026-09-12T17:26:34Z,SOXL,perp,bid,5.0,393844.25,2.1543,122.74
1789233994555,2026-09-12T17:26:34Z,SOXL,perp,ask,1.0,1578.62,0.3224,122.75
